id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
311743,2008-11-30 00:00:00+00:00,2008-2009,135,Charlotte Hornets,133,Boston Celtics,22.0,21.0,19.0,22.0,0.0,84,17.0,28.0,21.0,23.0,0.0,89,-5,WIN_PERCENTAGES:,0.3333333333333333,0.8823529411764706,-1,8,CUM_AVERAGES:,88.93333333333334,92.6,98.76470588235294,90.47058823529412,AT_HOME_AVGS:,87.3,90.3,ON_ROAD_AVGS:,97.28571428571429,90.14285714285714,L10AVERAGES:,88.2,91.5,102.6,93.1,L5AVERAGES:,87.8,89.8,99.8,87.4,DAYS_SINCE:,0,0,H2H:,0,0,0
311751,2008-11-30 03:30:00+00:00,2008-2009,144,Los Angeles Clippers,147,Miami Heat,29.0,25.0,14.0,29.0,0.0,97,28.0,28.0,17.0,23.0,0.0,96,1,WIN_PERCENTAGES:,0.13333333333333333,0.5,1,-1,CUM_AVERAGES:,91.66666666666667,100.93333333333334,97.375,96.125,AT_HOME_AVGS:,91.7,101.8,ON_ROAD_AVGS:,94.375,99.375,L10AVERAGES:,95.3,98.8,95.9,97.5,L5AVERAGES:,95.2,103.0,90.8,98.4,DAYS_SINCE:,3,1,H2H:,0,0,0
311757,2008-12-02 00:00:00+00:00,2008-2009,135,Charlotte Hornets,149,Minnesota Timberwolves,21.0,22.0,23.0,34.0,0.0,100,20.0,16.0,25.0,29.0,0.0,90,10,WIN_PERCENTAGES:,0.3125,0.26666666666666666,1,-2,CUM_AVERAGES:,88.625,92.375,97.46666666666667,100.46666666666667,AT_HOME_AVGS:,87.0,90.18181818181819,ON_ROAD_AVGS:,98.85714285714286,98.85714285714286,L10AVERAGES:,88.7,91.5,96.0,97.8,L5AVERAGES:,83.8,88.4,99.6,96.6,DAYS_SINCE:,2,1,H2H:,0,0,0
311758,2008-12-02 00:30:00+00:00,2008-2009,133,Boston Celtics,153,Orlando Magic,28.0,20.0,29.0,30.0,0.0,107,18.0,28.0,19.0,23.0,0.0,88,19,WIN_PERCENTAGES:,0.8888888888888888,0.7647058823529411,9,-1,CUM_AVERAGES:,98.22222222222223,90.11111111111111,100.41176470588235,94.23529411764706,AT_HOME_AVGS:,99.8,90.7,ON_ROAD_AVGS:,98.0,92.14285714285714,L10AVERAGES:,102.1,92.8,101.8,94.6,L5AVERAGES:,102.8,92.8,98.6,93.4,DAYS_SINCE:,2,2,H2H:,0,0,0
311771,2008-12-04 00:00:00+00:00,2008-2009,153,Orlando Magic,149,Minnesota Timberwolves,23.0,21.0,26.0,30.0,0.0,100,17.0,21.0,12.0,39.0,0.0,89,11,WIN_PERCENTAGES:,0.7222222222222222,0.25,1,-3,CUM_AVERAGES:,99.72222222222223,94.94444444444444,97.0,100.4375,AT_HOME_AVGS:,102.1,95.7,ON_ROAD_AVGS:,97.75,99.0,L10AVERAGES:,99.7,96.1,95.7,98.1,L5AVERAGES:,103.0,98.6,99.0,97.2,DAYS_SINCE:,1,2,H2H:,0,0,0
311769,2008-12-04 00:00:00+00:00,2008-2009,135,Charlotte Hornets,152,Oklahoma City Thunder,24.0,25.0,29.0,25.0,0.0,103,21.0,24.0,27.0,25.0,0.0,97,6,WIN_PERCENTAGES:,0.35294117647058826,0.1111111111111111,2,-1,CUM_AVERAGES:,89.29411764705883,92.23529411764706,91.5,102.72222222222223,AT_HOME_AVGS:,88.08333333333333,90.16666666666667,ON_ROAD_AVGS:,94.25,106.875,L10AVERAGES:,90.7,91.7,93.9,107.2,L5AVERAGES:,86.8,88.4,96.2,111.0,DAYS_SINCE:,2,3,H2H:,0,0,0
311774,2008-12-04 00:30:00+00:00,2008-2009,133,Boston Celtics,143,Indiana Pacers,28.0,29.0,31.0,26.0,0.0,114,27.0,24.0,22.0,23.0,0.0,96,18,WIN_PERCENTAGES:,0.8947368421052632,0.4117647058823529,10,-1,CUM_AVERAGES:,98.6842105263158,90.0,100.88235294117646,100.76470588235294,AT_HOME_AVGS:,100.45454545454545,90.45454545454545,ON_ROAD_AVGS:,97.875,102.5,L10AVERAGES:,102.5,91.4,101.3,104.4,L5AVERAGES:,107.2,91.6,96.8,104.4,DAYS_SINCE:,2,1,H2H:,-16,0,1
311778,2008-12-04 02:00:00+00:00,2008-2009,160,Utah Jazz,147,Miami Heat,24.0,21.0,20.0,24.0,0.0,89,19.0,28.0,27.0,19.0,0.0,93,-4,WIN_PERCENTAGES:,0.631578947368421,0.5,-1,2,CUM_AVERAGES:,99.89473684210526,96.21052631578948,99.11111111111111,98.0,AT_HOME_AVGS:,104.5,95.7,ON_ROAD_AVGS:,98.1,102.1,L10AVERAGES:,102.8,100.3,99.0,100.3,L5AVERAGES:,106.0,98.8,99.0,102.2,DAYS_SINCE:,0,1,H2H:,0,0,0
311781,2008-12-06 00:00:00+00:00,2008-2009,153,Orlando Magic,152,Oklahoma City Thunder,23.0,22.0,25.0,28.0,0.0,98,18.0,21.0,27.0,23.0,0.0,89,9,WIN_PERCENTAGES:,0.7368421052631579,0.10526315789473684,2,-2,CUM_AVERAGES:,99.73684210526316,94.63157894736842,91.78947368421052,102.73684210526316,AT_HOME_AVGS:,101.9090909090909,95.0909090909091,ON_ROAD_AVGS:,94.55555555555556,106.44444444444444,L10AVERAGES:,99.5,95.0,93.0,105.9,L5AVERAGES:,103.2,95.2,94.4,108.4,DAYS_SINCE:,2,2,H2H:,17,1,0
311783,2008-12-06 00:30:00+00:00,2008-2009,137,Cleveland Cavaliers,143,Indiana Pacers,21.0,31.0,18.0,27.0,0.0,97,20.0,18.0,16.0,19.0,0.0,73,24,WIN_PERCENTAGES:,0.8333333333333334,0.3888888888888889,7,-2,CUM_AVERAGES:,104.38888888888889,92.05555555555556,100.61111111111111,101.5,AT_HOME_AVGS:,108.5,92.1,ON_ROAD_AVGS:,97.66666666666667,103.77777777777777,L10AVERAGES:,108.3,91.3,101.7,106.4,L5AVERAGES:,112.4,90.0,97.8,106.4,DAYS_SINCE:,2,2,H2H:,4,1,0
