id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
23439,2017-11-19 03:00:00+00:00,2017-2018,156,Portland Trail Blazers,157,Sacramento Kings,21,32,27,22,0.0,102,20,21,22,27,0.0,90,12,1,WIN_PERCENTAGES:,0.5,0.3,-1,1,CUM_AVERAGES:,103.1,98.0,93.1,105.5,AT_HOME_AVGS:,101.3,98.7,ON_ROAD_AVGS:,90.9,108.6,L10AVERAGES:,99.2,98.8,90.3,106.2,L5AVERAGES:,99.0,94.8,89.6,115.0,DAYS_SINCE:,1,1,H2H:,-4,0,1
23444,2017-11-20 01:00:00+00:00,2017-2018,155,Phoenix Suns,136,Chicago Bulls,30,31,24,28,0.0,113,37,19,28,21,0.0,105,8,1,WIN_PERCENTAGES:,0.4,0.2,1,1,CUM_AVERAGES:,107.6,116.6,94.8,104.2,AT_HOME_AVGS:,106.6,116.3,ON_ROAD_AVGS:,99.3,108.6,L10AVERAGES:,109.2,116.5,94.3,103.2,L5AVERAGES:,110.8,121.2,96.6,104.8,DAYS_SINCE:,1,2,H2H:,0,0,0
23450,2017-11-21 00:30:00+00:00,2017-2018,151,New York Knicks,144,Los Angeles Clippers,20,36,27,24,0.0,107,20,24,24,17,0.0,85,22,1,WIN_PERCENTAGES:,0.5,0.3,-1,-8,CUM_AVERAGES:,104.5,104.8,106.3,106.5,AT_HOME_AVGS:,109.8,104.3,ON_ROAD_AVGS:,104.7,109.4,L10AVERAGES:,106.7,106.5,106.3,113.6,L5AVERAGES:,110.2,102.0,104.2,114.2,DAYS_SINCE:,3,2,H2H:,0,0,0
23455,2017-11-21 01:30:00+00:00,2017-2018,138,Dallas Mavericks,133,Boston Celtics,22,27,28,19,6.0,102,34,19,16,27,14.0,110,-8,0,WIN_PERCENTAGES:,0.2,0.9,1,15,CUM_AVERAGES:,98.9,105.6,102.5,94.4,AT_HOME_AVGS:,100.2,104.6,ON_ROAD_AVGS:,103.0,95.9,L10AVERAGES:,98.5,104.3,103.1,94.1,L5AVERAGES:,97.4,99.4,106.8,98.0,DAYS_SINCE:,1,2,H2H:,0,0,0
23457,2017-11-22 03:30:00+00:00,2017-2018,145,Los Angeles Lakers,136,Chicago Bulls,23,19,30,31,0.0,103,27,29,19,19,0.0,94,9,1,WIN_PERCENTAGES:,0.4,0.2,1,-1,CUM_AVERAGES:,105.6,107.5,95.5,104.9,AT_HOME_AVGS:,109.1,108.0,ON_ROAD_AVGS:,100.0,109.1,L10AVERAGES:,107.1,108.2,95.7,105.9,L5AVERAGES:,116.0,112.0,99.4,108.0,DAYS_SINCE:,2,2,H2H:,0,0,0
23463,2017-11-23 00:30:00+00:00,2017-2018,151,New York Knicks,159,Toronto Raptors,26,22,41,19,0.0,108,34,25,10,31,0.0,100,8,1,WIN_PERCENTAGES:,0.6,0.7,1,4,CUM_AVERAGES:,104.7,103.6,110.4,103.5,AT_HOME_AVGS:,109.5,102.5,ON_ROAD_AVGS:,108.6,105.3,L10AVERAGES:,105.8,104.0,111.2,106.7,L5AVERAGES:,110.0,98.8,113.6,110.6,DAYS_SINCE:,2,3,H2H:,-23,0,1
23470,2017-11-23 02:00:00+00:00,2017-2018,155,Phoenix Suns,148,Milwaukee Bucks,23,21,31,30,2.0,107,33,21,30,21,8.0,113,-6,0,WIN_PERCENTAGES:,0.4,0.5,2,-2,CUM_AVERAGES:,107.9,115.9,101.4,104.5,AT_HOME_AVGS:,107.2,115.3,ON_ROAD_AVGS:,104.9,108.4,L10AVERAGES:,108.3,115.4,99.5,105.0,L5AVERAGES:,110.4,117.0,101.8,110.6,DAYS_SINCE:,3,2,H2H:,0,0,0
23469,2017-11-23 02:00:00+00:00,2017-2018,160,Utah Jazz,136,Chicago Bulls,25,30,32,23,0.0,110,24,22,23,11,0.0,80,30,1,WIN_PERCENTAGES:,0.4,0.2,-1,-2,CUM_AVERAGES:,99.7,101.1,95.4,104.7,AT_HOME_AVGS:,99.7,96.8,ON_ROAD_AVGS:,99.3,108.4,L10AVERAGES:,101.2,106.5,98.2,106.1,L5AVERAGES:,96.6,102.4,97.2,112.0,DAYS_SINCE:,2,0,H2H:,0,0,0
23479,2017-11-25 02:00:00+00:00,2017-2018,155,Phoenix Suns,150,New Orleans Pelicans,21,21,20,29,0.0,91,33,39,22,21,0.0,115,-24,0,WIN_PERCENTAGES:,0.4,0.6,-1,2,CUM_AVERAGES:,107.8,115.8,108.6,109.2,AT_HOME_AVGS:,107.2,115.1,ON_ROAD_AVGS:,106.8,109.8,L10AVERAGES:,108.3,114.7,109.8,109.4,L5AVERAGES:,109.4,114.0,108.8,112.8,DAYS_SINCE:,2,2,H2H:,0,0,0
23489,2017-11-26 01:30:00+00:00,2017-2018,138,Dallas Mavericks,152,Oklahoma City Thunder,25,27,26,19,0.0,97,24,13,18,26,0.0,81,16,1,WIN_PERCENTAGES:,0.2,0.4,1,-1,CUM_AVERAGES:,98.9,105.2,103.2,98.2,AT_HOME_AVGS:,100.4,105.1,ON_ROAD_AVGS:,100.1,99.1,L10AVERAGES:,99.5,102.4,101.7,99.6,L5AVERAGES:,99.0,101.6,97.4,103.4,DAYS_SINCE:,3,1,H2H:,-13,0,1
23490,2017-11-26 02:00:00+00:00,2017-2018,160,Utah Jazz,148,Milwaukee Bucks,31,33,31,26,0.0,121,30,27,28,23,0.0,108,13,1,WIN_PERCENTAGES:,0.4,0.5,1,1,CUM_AVERAGES:,100.3,100.0,102.1,104.6,AT_HOME_AVGS:,100.6,95.3,ON_ROAD_AVGS:,105.9,108.2,L10AVERAGES:,102.2,103.6,101.7,104.7,L5AVERAGES:,98.6,96.6,100.2,106.8,DAYS_SINCE:,3,3,H2H:,0,0,0
23494,2017-11-26 23:00:00+00:00,2017-2018,146,Memphis Grizzlies,134,Brooklyn Nets,22,25,18,23,0.0,88,19,28,32,19,0.0,98,-10,0,WIN_PERCENTAGES:,0.4,0.3,-7,-3,CUM_AVERAGES:,99.4,101.1,111.3,114.9,AT_HOME_AVGS:,99.3,99.3,ON_ROAD_AVGS:,107.6,114.4,L10AVERAGES:,98.6,104.9,108.6,111.9,L5AVERAGES:,96.2,103.4,103.6,106.8,DAYS_SINCE:,1,2,H2H:,0,0,0
