id,league.season,teams.home.id,teams.away.id,home_spread,winner,total,home_win_percentage,away_win_percentage,home_streak,away_streak,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,home_days_since_last_game,away_days_since_last_game,home_h2h_spread,home_h2h_record,away_h2h_record
311743,2008-2009,135,133,-5.0,0,173.0,0.3,0.9,1,7,88.9,92.6,98.8,90.5,87.3,90.3,97.3,90.1,88.2,91.5,102.6,93.1,87.8,89.8,99.8,87.4,0,0,0,0,0
311751,2008-2009,144,147,1.0,1,193.0,0.1,0.5,-4,1,91.7,100.9,97.4,96.1,91.7,101.8,94.4,99.4,95.3,98.8,95.9,97.5,95.2,103.0,90.8,98.4,3,1,0,0,0
311757,2008-2009,135,149,10.0,1,190.0,0.3,0.3,-1,-1,88.6,92.4,97.5,100.5,87.0,90.2,98.9,98.9,88.7,91.5,96.0,97.8,83.8,88.4,99.6,96.6,2,1,0,0,0
311758,2008-2009,133,153,19.0,1,195.0,0.9,0.8,8,4,98.2,90.1,100.4,94.2,99.8,90.7,98.0,92.1,102.1,92.8,101.8,94.6,102.8,92.8,98.6,93.4,2,2,0,0,0
311771,2008-2009,153,149,11.0,1,189.0,0.7,0.2,-1,-2,99.7,94.9,97.0,100.4,102.1,95.7,97.8,99.0,99.7,96.1,95.7,98.1,103.0,98.6,99.0,97.2,1,2,0,0,0
311769,2008-2009,135,152,6.0,1,200.0,0.4,0.1,1,1,89.3,92.2,91.5,102.7,88.1,90.2,94.2,106.9,90.7,91.7,93.9,107.2,86.8,88.4,96.2,111.0,2,3,0,0,0
311774,2008-2009,133,143,18.0,1,210.0,0.9,0.4,9,1,98.7,90.0,100.9,100.8,100.5,90.5,97.9,102.5,102.5,91.4,101.3,104.4,107.2,91.6,96.8,104.4,2,1,-16,0,1
311778,2008-2009,160,147,-4.0,0,182.0,0.6,0.5,1,1,99.9,96.2,99.1,98.0,104.5,95.7,98.1,102.1,102.8,100.3,99.0,100.3,106.0,98.8,99.0,102.2,0,1,0,0,0
311781,2008-2009,153,152,9.0,1,187.0,0.7,0.1,1,-1,99.7,94.6,91.8,102.7,101.9,95.1,94.6,106.4,99.5,95.0,93.0,105.9,103.2,95.2,94.4,108.4,2,2,17,1,0
311783,2008-2009,137,143,24.0,1,170.0,0.8,0.4,6,-1,104.4,92.1,100.6,101.5,108.5,92.1,97.7,103.8,108.3,91.3,101.7,106.4,112.4,90.0,97.8,106.4,2,2,4,1,0
311788,2008-2009,133,156,15.0,1,171.0,0.9,0.7,10,6,99.4,90.3,98.6,93.2,101.6,90.9,97.0,96.5,105.4,91.6,102.7,90.1,108.0,90.6,101.4,94.4,2,2,0,0,0
