,id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,total,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
6,372464,2023-12-02 00:30:00+00:00,2023-2024,159,Toronto Raptors,151,New York Knicks,26,31,20,29,0.0,106,34,23,33,29,0.0,119,-13,0,225,WIN_PERCENTAGES:,0.5,0.6,1,2,CUM_AVERAGES:,111.5,112.2,110.4,105.4,AT_HOME_AVGS:,112.8,108.7,ON_ROAD_AVGS:,109.2,107.7,L10AVERAGES:,114.7,114.6,113.1,107.6,L5AVERAGES:,118.4,112.4,111.2,110.4,DAYS_SINCE:,2,1,H2H:,0,0,0
45,372507,2023-12-14 02:00:00+00:00,2023-2024,160,Utah Jazz,151,New York Knicks,22,30,37,28,0.0,117,31,19,34,29,0.0,113,4,1,230,WIN_PERCENTAGES:,0.3,0.6,-3,1,CUM_AVERAGES:,111.3,120.3,112.7,108.0,AT_HOME_AVGS:,118.2,116.7,ON_ROAD_AVGS:,111.4,109.8,L10AVERAGES:,104.2,118.1,116.6,111.0,L5AVERAGES:,115.4,116.4,116.8,112.6,DAYS_SINCE:,2,2,H2H:,0,0,0
57,372522,2023-12-16 03:00:00+00:00,2023-2024,155,Phoenix Suns,151,New York Knicks,30,38,31,23,0.0,122,31,32,34,42,0.0,139,-17,0,261,WIN_PERCENTAGES:,0.6,0.6,-1,-1,CUM_AVERAGES:,115.7,113.5,112.7,108.4,AT_HOME_AVGS:,116.8,115.0,ON_ROAD_AVGS:,111.5,110.4,L10AVERAGES:,113.8,111.0,115.9,112.8,L5AVERAGES:,112.8,114.8,115.4,116.2,DAYS_SINCE:,2,2,H2H:,3,1,0
66,372532,2023-12-17 03:30:00+00:00,2023-2024,144,Los Angeles Clippers,151,New York Knicks,35,42,37,30,0.0,144,33,33,32,24,0.0,122,22,1,266,WIN_PERCENTAGES:,0.6,0.6,6,1,CUM_AVERAGES:,114.4,109.5,113.8,109.0,AT_HOME_AVGS:,114.2,105.5,ON_ROAD_AVGS:,113.6,111.3,L10AVERAGES:,116.9,109.4,117.6,114.2,L5AVERAGES:,119.2,110.6,118.8,119.0,DAYS_SINCE:,2,1,H2H:,-14,0,1
82,372548,2023-12-19 03:30:00+00:00,2023-2024,145,Los Angeles Lakers,151,New York Knicks,27,31,22,29,0.0,109,35,22,33,24,0.0,114,-5,0,223,WIN_PERCENTAGES:,0.5,0.6,-1,-1,CUM_AVERAGES:,113.5,114.9,114.2,110.4,AT_HOME_AVGS:,114.0,106.9,ON_ROAD_AVGS:,114.2,113.6,L10AVERAGES:,115.9,116.8,119.8,116.9,L5AVERAGES:,110.8,105.8,123.2,124.4,DAYS_SINCE:,3,2,H2H:,0,0,0
91,372557,2023-12-21 00:30:00+00:00,2023-2024,134,Brooklyn Nets,151,New York Knicks,20,31,26,25,0.0,102,32,28,30,31,0.0,121,-19,0,223,WIN_PERCENTAGES:,0.5,0.6,-3,1,CUM_AVERAGES:,116.1,115.1,114.2,110.4,AT_HOME_AVGS:,115.6,108.8,ON_ROAD_AVGS:,114.2,113.3,L10AVERAGES:,117.3,115.9,121.2,118.0,L5AVERAGES:,122.8,107.8,122.2,125.0,DAYS_SINCE:,1,1,H2H:,0,0,0
111,372577,2023-12-23 17:30:00+00:00,2023-2024,151,New York Knicks,148,Milwaukee Bucks,27,27,33,24,0.0,111,36,26,38,30,0.0,130,-19,0,241,WIN_PERCENTAGES:,0.6,0.8,2,7,CUM_AVERAGES:,114.4,110.0,123.8,118.6,AT_HOME_AVGS:,114.1,105.9,ON_ROAD_AVGS:,122.1,119.6,L10AVERAGES:,122.0,116.6,128.1,118.8,L5AVERAGES:,116.4,109.4,126.4,118.2,DAYS_SINCE:,2,1,H2H:,-5,0,1
124,372590,2023-12-25 17:00:00+00:00,2023-2024,151,New York Knicks,148,Milwaukee Bucks,36,26,36,31,0.0,129,27,24,36,35,0.0,122,7,1,251,WIN_PERCENTAGES:,0.6,0.8,-1,8,CUM_AVERAGES:,114.3,110.8,124.0,118.3,AT_HOME_AVGS:,113.8,108.1,ON_ROAD_AVGS:,122.8,118.8,L10AVERAGES:,121.6,120.5,130.3,119.7,L5AVERAGES:,118.6,115.8,126.4,120.6,DAYS_SINCE:,1,1,H2H:,-24,0,2
142,372608,2023-12-28 01:00:00+00:00,2023-2024,152,Oklahoma City Thunder,151,New York Knicks,38,31,24,36,0.0,129,25,35,29,31,0.0,120,9,1,249,WIN_PERCENTAGES:,0.7,0.6,1,1,CUM_AVERAGES:,121.0,113.4,114.8,111.2,AT_HOME_AVGS:,124.0,116.1,ON_ROAD_AVGS:,114.6,112.6,L10AVERAGES:,123.9,117.8,122.7,121.5,L5AVERAGES:,126.6,113.4,121.8,118.8,DAYS_SINCE:,1,2,H2H:,0,0,0
152,372618,2023-12-30 00:00:00+00:00,2023-2024,153,Orlando Magic,151,New York Knicks,26,29,31,31,0.0,117,29,15,30,34,0.0,108,9,1,225,WIN_PERCENTAGES:,0.6,0.6,-1,-1,CUM_AVERAGES:,112.9,110.7,115.0,111.8,AT_HOME_AVGS:,117.1,107.8,ON_ROAD_AVGS:,114.9,113.6,L10AVERAGES:,110.2,112.2,122.8,123.8,L5AVERAGES:,111.0,107.4,123.2,121.2,DAYS_SINCE:,2,1,H2H:,0,0,0
