,teams.home.name,teams.away.name,home_spread,odds_spread
0,Indiana Pacers,Portland Trail Blazers,-4,12.0
1,New Orleans Pelicans,Philadelphia 76ers,10,-1.5
2,Cleveland Cavaliers,Portland Trail Blazers,-8,12.0
3,Brooklyn Nets,Charlotte Hornets,-1,8.5
4,Chicago Bulls,Milwaukee Bucks,7,-9.5
5,Orlando Magic,Washington Wizards,5,10.5
6,Toronto Raptors,New York Knicks,-13,1.5
7,New Orleans Pelicans,San Antonio Spurs,15,13.0
8,Brooklyn Nets,Orlando Magic,28,2.5
9,Chicago Bulls,New Orleans Pelicans,6,-1.0
10,Cleveland Cavaliers,Orlando Magic,10,4.5
11,Detroit Pistons,Memphis Grizzlies,-14,-1.0
12,Toronto Raptors,Miami Heat,-9,3.0
13,Minnesota Timberwolves,San Antonio Spurs,8,12.0
14,Chicago Bulls,Charlotte Hornets,11,5.0
15,Golden State Warriors,Portland Trail Blazers,4,11.0
16,Philadelphia 76ers,Atlanta Hawks,11,8.0
17,Orlando Magic,Detroit Pistons,32,12.0
18,Charlotte Hornets,Toronto Raptors,3,-4.5
19,Brooklyn Nets,Washington Wizards,27,9.0
20,Oklahoma City Thunder,Golden State Warriors,2,4.0
21,San Antonio Spurs,Chicago Bulls,-9,-2.0
22,Phoenix Suns,Sacramento Kings,-8,-1.5
23,Utah Jazz,Los Angeles Clippers,-14,-5.0
24,Orlando Magic,Cleveland Cavaliers,10,2.5
25,Philadelphia 76ers,Washington Wizards,45,12.0
26,Detroit Pistons,Indiana Pacers,-8,-7.0
27,Charlotte Hornets,Miami Heat,-2,-3.5
28,Oklahoma City Thunder,Utah Jazz,14,12.5
29,New Orleans Pelicans,Minnesota Timberwolves,14,2.5
30,Memphis Grizzlies,Dallas Mavericks,-7,-3.0
31,Milwaukee Bucks,Chicago Bulls,4,10.5
32,Houston Rockets,San Antonio Spurs,11,8.5
33,Los Angeles Clippers,Portland Trail Blazers,5,12.5
34,Boston Celtics,Cleveland Cavaliers,7,9.5
35,Dallas Mavericks,Los Angeles Lakers,2,-1.5
36,Chicago Bulls,Denver Nuggets,-8,-7.5
37,Phoenix Suns,Golden State Warriors,3,3.5
38,Los Angeles Clippers,Sacramento Kings,20,4.5
39,Detroit Pistons,Philadelphia 76ers,-18,-12.0
40,Toronto Raptors,Atlanta Hawks,7,1.5
41,San Antonio Spurs,Los Angeles Lakers,-3,-3.5
42,Houston Rockets,Memphis Grizzlies,13,7.5
43,Milwaukee Bucks,Indiana Pacers,14,6.5
44,Phoenix Suns,Brooklyn Nets,-4,4.5
45,Utah Jazz,New York Knicks,4,-6.5
46,Boston Celtics,Cleveland Cavaliers,9,8.5
47,Miami Heat,Chicago Bulls,-8,3.5
48,Dallas Mavericks,Minnesota Timberwolves,-18,-1.0
49,Denver Nuggets,Brooklyn Nets,23,9.5
50,Los Angeles Clippers,Golden State Warriors,8,5.5
51,Charlotte Hornets,New Orleans Pelicans,-5,-7.0
52,Philadelphia 76ers,Detroit Pistons,32,16.0
53,Toronto Raptors,Atlanta Hawks,-21,2.5
54,San Antonio Spurs,Los Angeles Lakers,14,-4.0
55,Boston Celtics,Orlando Magic,17,5.5
56,Memphis Grizzlies,Houston Rockets,-7,-3.0
57,Phoenix Suns,New York Knicks,-17,4.5
58,Milwaukee Bucks,Detroit Pistons,32,31.5
59,Charlotte Hornets,Philadelphia 76ers,-53,-12.0
60,Cleveland Cavaliers,Atlanta Hawks,8,4.5
61,Miami Heat,Chicago Bulls,2,4.5
62,Minnesota Timberwolves,Indiana Pacers,18,7.0
63,Golden State Warriors,Brooklyn Nets,4,3.5
64,Denver Nuggets,Oklahoma City Thunder,-1,5.0
65,Sacramento Kings,Utah Jazz,21,11.0
66,Los Angeles Clippers,New York Knicks,22,6.0
